title,series,platform,genre,developer,publisher,rating,modes,year,release_eu,release_jp,release_na,plot
Blazing Star,,Neo Geo AES,SHOOT_EM_UP,"Aicom, Yumekobo","SNK, Yumekobo",,SINGLE_PLAYER,1998,1998-02-26,1998-02-26,1998-02-26,
Blue's Journey,,Neo Geo AES,PLATFORM,Alpha Denshi,"Alpha Denshi, SNK",ESRB_EVERYONE,SINGLE_PLAYER,1991,1991-07-01,1991-07-01,1991-07-01,
Breakers,Breakers,Neo Geo AES,FIGHTING,Visco,"SNK, Visco",ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1996,1997-03-21,1997-03-21,1997-03-21,
Burning Fight,,Neo Geo AES,BEAT_EM_UP,SNK,SNK,ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1991,1991-08-09,1991-08-09,1991-08-09,
Chibi Maruko-chan: Maruko Deluxe Quiz,,Neo Geo AES,QUIZ,Be Top,"SNK, Takara",,SINGLE_PLAYER,1995,1996-01-26,1996-01-26,1996-01-26,
Crossed Swords,,Neo Geo AES,"ACTION, ROLE_PLAYING",Alpha Denshi,"Alpha Denshi, SNK",ESRB_TEEN,SINGLE_PLAYER,1991,1991-10-01,1991-10-01,1991-10-01,
Crossed Swords II,,Neo Geo AES,"ACTION, ROLE_PLAYING",ADK,ADK,ESRB_TEEN,SINGLE_PLAYER,1995,1995-05-02,1995-05-02,1995-05-02,
Cyber-Lip,,Neo Geo AES,RUN_AND_GUN,SNK,SNK,ESRB_TEEN,SINGLE_PLAYER,1990,1991-07-01,1991-07-01,1991-07-01,
Double Dragon,,Neo Geo AES,FIGHTING,Technōs Japan,"SNK, Technōs Japan Corp.",ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1995,1995-03-31,1995-03-31,1995-03-31,
Eight Man,,Neo Geo AES,BEAT_EM_UP,"Pallas, SNK","Pallas, SNK",,SINGLE_PLAYER,1991,1991-11-20,1991-11-20,1991-11-20,
Far East of Eden: Kabuki Klash,,Neo Geo AES,FIGHTING,"Racjin, Red Entertainment","Hudson Soft, SNK",,SINGLE_PLAYER,1995,1995-07-28,1995-07-28,1995-07-28,
Fatal Fury: King of Fighters,Fatal Fury,Neo Geo AES,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1991,1991-12-20,1991-12-20,1991-12-20,
Fatal Fury 2,Fatal Fury,Neo Geo AES,FIGHTING,SNK,SNK,ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1992,1993-03-05,1993-03-05,1993-03-05,
Fatal Fury 3: Road to the Final Victory,Fatal Fury,Neo Geo AES,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1995,1995-04-21,1995-04-21,1995-04-21,
Fatal Fury Special,Fatal Fury,Neo Geo AES,FIGHTING,SNK,SNK,ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1993,1993-12-22,1993-12-22,1993-12-22,
Football Frenzy,,Neo Geo AES,SPORTS,SNK,SNK,ESRB_EVERYONE,"SINGLE_PLAYER, TWO_PLAYERS",1992,1992-02-21,1992-02-21,1992-02-21,
Galaxy Fight: Universal Warriors,,Neo Geo AES,FIGHTING,Sunsoft,"SNK, Sunsoft",,"SINGLE_PLAYER, TWO_PLAYERS",1995,1995-02-25,1995-02-25,1995-02-25,
Garou: Mark of the Wolves,Fatal Fury,Neo Geo AES,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1999,2000-02-25,2000-02-25,2000-02-25,
Ghost Pilots,,Neo Geo AES,SHOOT_EM_UP,SNK,SNK,ESRB_TEEN,SINGLE_PLAYER,1991,1991-07-01,1991-07-01,1991-07-01,
Karnov's Revenge,,Neo Geo AES,FIGHTING,Data East,"Data East, SNK",ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1994,1994-04-28,1994-04-28,1994-04-28,
The King of Fighters '94,The King of Fighters,Neo Geo AES,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1994,1994-10-01,1994-10-01,1994-10-01,
The King of Fighters '95,The King of Fighters,Neo Geo AES,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1995,1995-09-01,1995-09-01,1995-09-01,
The King of Fighters '96,The King of Fighters,Neo Geo AES,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1996,1996-09-27,1996-09-27,1996-09-27,
The King of Fighters '97,The King of Fighters,Neo Geo AES,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1997,1997-09-25,1997-09-25,1997-09-25,
The King of Fighters '98: The Slugfest,The King of Fighters,Neo Geo AES,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1998,1998-09-23,1998-09-23,1998-09-23,
The King of Fighters '99: Millennium Battle,The King of Fighters,Neo Geo AES,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1999,1999-09-23,1999-09-23,1999-09-23,
The King of Fighters 2000,The King of Fighters,Neo Geo AES,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",2000,2000-12-21,2000-12-21,2000-12-21,
The King of Fighters 2001,The King of Fighters,Neo Geo AES,FIGHTING,Eolith,SNK Playmore,,"SINGLE_PLAYER, TWO_PLAYERS",2001,2002-03-14,2002-03-14,2002-03-14,
The King of Fighters 2002: Challenge to Ultimate Battle,The King of Fighters,Neo Geo AES,FIGHTING,Eolith,"Eolith, Playmore",,"SINGLE_PLAYER, TWO_PLAYERS",2002,2002-12-19,2002-12-19,2002-12-19,
The King of Fighters 2003,The King of Fighters,Neo Geo AES,FIGHTING,SNK Playmore,SNK Playmore,,"SINGLE_PLAYER, TWO_PLAYERS",2003,2004-03-18,2004-03-18,2004-03-18,
King of the Monsters,King of the Monsters,Neo Geo AES,"FIGHTING, SPORTS_WRESTLING",SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1991,1991-07-01,1991-07-01,1991-07-01,
King of the Monsters 2,King of the Monsters,Neo Geo AES,"FIGHTING, SPORTS_WRESTLING",SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1992,1992-06-01,1992-06-01,1992-06-01,
Kizuna Encounter,,Neo Geo AES,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1996,1996-11-08,1996-11-08,1996-11-08,
The Last Blade,The Last Blade,Neo Geo AES,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1997,1998-01-29,1998-01-29,1998-01-29,
The Last Blade 2,The Last Blade,Neo Geo AES,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1998,1999-01-28,1999-01-28,1999-01-28,
Last Resort,,Neo Geo AES,SHOOT_EM_UP,SNK,SNK,ESRB_EVERYONE,"SINGLE_PLAYER, TWO_PLAYERS",1992,1992-04-24,1992-04-24,1992-04-24,
League Bowling,,Neo Geo AES,SPORTS,SNK,SNK,ESRB_EVERYONE,"SINGLE_PLAYER, TWO_PLAYERS",1990,1991-07-01,1991-07-01,1991-07-01,
Legend of Success Joe,,Neo Geo AES,"BEAT_EM_UP, FIGHTING",Wave,"SNK, Wave",,SINGLE_PLAYER,1991,1991-08-30,1991-08-30,1991-08-30,
